ACode,Desc
15,Food and beverages
16,Tobacco products
17,Textiles
18,"Wearing apparel, fur"
19,"Leather, leather products and footwear"
20,Wood products (excl. furniture)
21,Paper and paper products
22,Printing and publishing
23,"Coke,refined petroleum products,nuclear fuel"
24,Chemicals and chemical products
25,Rubber and plastics products
26,Non-metallic mineral products
27,Basic metals
28,Fabricated metal products
29,Machinery and equipment n.e.c.
30,"Office, accounting and computing machinery"
31,Electrical machinery and apparatus
32,"Radio,television and communication equipment"
33,"Medical, precision and optical instruments"
34,"Motor vehicles, trailers, semi-trailers"
35,Other transport equipment
36,Furniture; manufacturing n.e.c.
37,Recycling
D,Total manufacturing
